rayland-c: Wayland proxy listening at /tmp/rl-tr-wl.sock; point the app at it with WAYLAND_DISPLAY
rayland-c: listening at /tmp/rl-tr.sock, relaying to S at 127.0.0.1:9473
rayland-c: point Mesa at it with:
  VN_DEBUG=vtest VTEST_SOCKET_NAME=/tmp/rl-tr.sock VK_ICD_FILENAMES=<...>/virtio_icd.x86_64.json <app>
[wp-proxy] proxy listening at /tmp/rl-tr-wl.sock
[wp-proxy] application connected: client InnerClientId { id: 0, serial: 1 }
rayland-c: Mesa connected
rayland-c: watching command ring res_id=1 buffer_size=131072
RLTRACE t_ns=859200597666515 stage=T7 side=C res=2 off=772 len=1
RLTRACE t_ns=859200597976318 stage=T7 side=C res=2 off=780 len=1
RLTRACE t_ns=859200598117584 stage=T7 side=C res=2 off=788 len=5
RLTRACE t_ns=859200598372744 stage=T7 side=C res=2 off=796 len=5
RLTRACE t_ns=859200598886753 stage=T7 side=C res=2 off=807 len=1
RLTRACE t_ns=859200599253330 stage=T7 side=C res=2 off=810 len=3
RLTRACE t_ns=859200599613765 stage=T7 side=C res=2 off=817 len=1
RLTRACE t_ns=859200599669030 stage=T7 side=C res=2 off=821 len=1
RLTRACE t_ns=859200599720026 stage=T7 side=C res=2 off=825 len=1
RLTRACE t_ns=859200599882065 stage=T7 side=C res=2 off=828 len=1
RLTRACE t_ns=859200599934241 stage=T7 side=C res=2 off=832 len=1
RLTRACE t_ns=859200599981173 stage=T7 side=C res=2 off=836 len=1
RLTRACE t_ns=859200600766557 stage=T7 side=C res=2 off=840 len=1
RLTRACE t_ns=859200600999532 stage=T7 side=C res=2 off=844 len=1
RLTRACE t_ns=859200601127225 stage=T7 side=C res=2 off=848 len=1
RLTRACE t_ns=859200601638442 stage=T7 side=C res=2 off=852 len=1
RLTRACE t_ns=859200601708921 stage=T7 side=C res=2 off=856 len=1
RLTRACE t_ns=859200602101964 stage=T7 side=C res=2 off=860 len=1
RLTRACE t_ns=859200602171771 stage=T7 side=C res=2 off=864 len=1
RLTRACE t_ns=859200602329209 stage=T7 side=C res=2 off=868 len=1
RLTRACE t_ns=859200602673020 stage=T7 side=C res=2 off=872 len=1
RLTRACE t_ns=859200603054441 stage=T7 side=C res=2 off=876 len=5
RLTRACE t_ns=859200603071909 stage=T7 side=C res=2 off=884 len=1
RLTRACE t_ns=859200603089578 stage=T7 side=C res=2 off=888 len=1
RLTRACE t_ns=859200603107949 stage=T7 side=C res=2 off=892 len=1
RLTRACE t_ns=859200603122990 stage=T7 side=C res=2 off=896 len=1
RLTRACE t_ns=859200603312230 stage=T7 side=C res=2 off=907 len=1
RLTRACE t_ns=859200603574816 stage=T7 side=C res=2 off=909 len=4
RLTRACE t_ns=859200603717166 stage=T7 side=C res=2 off=927 len=1
RLTRACE t_ns=859200603733882 stage=T7 side=C res=2 off=931 len=1
RLTRACE t_ns=859200604137252 stage=T7 side=C res=2 off=935 len=1
RLTRACE t_ns=859200604689602 stage=T7 side=C res=2 off=940 len=1
RLTRACE t_ns=859200605080173 stage=T7 side=C res=2 off=944 len=1
RLTRACE t_ns=859200605094329 stage=T7 side=C res=2 off=952 len=1
RLTRACE t_ns=859200605108038 stage=T7 side=C res=2 off=960 len=1
RLTRACE t_ns=859200605121051 stage=T7 side=C res=2 off=968 len=1
RLTRACE t_ns=859200605137138 stage=T7 side=C res=2 off=972 len=1
RLTRACE t_ns=859200605150351 stage=T7 side=C res=2 off=976 len=1
RLTRACE t_ns=859200605163139 stage=T7 side=C res=2 off=984 len=1
RLTRACE t_ns=859200605746628 stage=T8 side=C res=1 tail=444
RLTRACE t_ns=859200632703912 stage=T7 side=C res=2 off=988 len=1
RLTRACE t_ns=859200632727563 stage=T7 side=C res=2 off=996 len=1
RLTRACE t_ns=859200632744125 stage=T7 side=C res=2 off=1004 len=1
RLTRACE t_ns=859200633301586 stage=T8 side=C res=1 tail=524
RLTRACE t_ns=859200662141435 stage=T7 side=C res=2 off=1016 len=1
RLTRACE t_ns=859200662261188 stage=T7 side=C res=2 off=1024 len=1
RLTRACE t_ns=859200662275694 stage=T7 side=C res=2 off=1032 len=1
RLTRACE t_ns=859200662290056 stage=T7 side=C res=2 off=1036 len=1
RLTRACE t_ns=859200662304979 stage=T7 side=C res=2 off=1045 len=1
RLTRACE t_ns=859200662323020 stage=T7 side=C res=2 off=1052 len=19
RLTRACE t_ns=859200662341728 stage=T7 side=C res=2 off=1308 len=1
RLTRACE t_ns=859200662356890 stage=T7 side=C res=2 off=1313 len=1
RLTRACE t_ns=859200662373748 stage=T7 side=C res=2 off=1320 len=20
RLTRACE t_ns=859200662387543 stage=T7 side=C res=2 off=1576 len=1
RLTRACE t_ns=859200662735035 stage=T7 side=C res=2 off=1581 len=1
RLTRACE t_ns=859200662917671 stage=T7 side=C res=2 off=1588 len=19
RLTRACE t_ns=859200663753927 stage=T7 side=C res=2 off=1844 len=1
RLTRACE t_ns=859200664131070 stage=T7 side=C res=2 off=1849 len=1
RLTRACE t_ns=859200664392857 stage=T7 side=C res=2 off=1856 len=28
RLTRACE t_ns=859200664798645 stage=T7 side=C res=2 off=2112 len=1
RLTRACE t_ns=859200664936959 stage=T7 side=C res=2 off=2117 len=1
RLTRACE t_ns=859200664952062 stage=T7 side=C res=2 off=2124 len=28
RLTRACE t_ns=859200665486268 stage=T7 side=C res=2 off=2380 len=1
RLTRACE t_ns=859200665879488 stage=T7 side=C res=2 off=2385 len=1
RLTRACE t_ns=859200666595020 stage=T7 side=C res=2 off=2392 len=33
RLTRACE t_ns=859200666609947 stage=T7 side=C res=2 off=2648 len=1
RLTRACE t_ns=859200666909292 stage=T7 side=C res=2 off=2653 len=1
RLTRACE t_ns=859200666954790 stage=T7 side=C res=2 off=2660 len=21
RLTRACE t_ns=859200666969037 stage=T7 side=C res=2 off=2916 len=1
RLTRACE t_ns=859200666982156 stage=T7 side=C res=2 off=2921 len=1
RLTRACE t_ns=859200667215221 stage=T7 side=C res=2 off=2928 len=25
RLTRACE t_ns=859200667229427 stage=T7 side=C res=2 off=3184 len=1
RLTRACE t_ns=859200667595140 stage=T7 side=C res=2 off=3189 len=1
RLTRACE t_ns=859200667885309 stage=T7 side=C res=2 off=3196 len=27
RLTRACE t_ns=859200668022577 stage=T7 side=C res=2 off=3452 len=1
RLTRACE t_ns=859200668044143 stage=T7 side=C res=2 off=3457 len=1
RLTRACE t_ns=859200668423691 stage=T7 side=C res=2 off=3464 len=27
RLTRACE t_ns=859200668437274 stage=T7 side=C res=2 off=3720 len=1
RLTRACE t_ns=859200668640637 stage=T7 side=C res=2 off=3725 len=1
RLTRACE t_ns=859200668934936 stage=T7 side=C res=2 off=3732 len=28
RLTRACE t_ns=859200669439901 stage=T7 side=C res=2 off=3988 len=1
RLTRACE t_ns=859200669455557 stage=T7 side=C res=2 off=3993 len=1
RLTRACE t_ns=859200669471572 stage=T7 side=C res=2 off=4000 len=33
RLTRACE t_ns=859200669669838 stage=T7 side=C res=2 off=4256 len=1
RLTRACE t_ns=859200669925584 stage=T7 side=C res=2 off=4261 len=1
RLTRACE t_ns=859200670434486 stage=T7 side=C res=2 off=4268 len=19
RLTRACE t_ns=859200670449012 stage=T7 side=C res=2 off=4524 len=1
RLTRACE t_ns=859200671205122 stage=T7 side=C res=2 off=4529 len=1
RLTRACE t_ns=859200671517746 stage=T7 side=C res=2 off=4536 len=26
RLTRACE t_ns=859200671729790 stage=T7 side=C res=2 off=4792 len=1
RLTRACE t_ns=859200671800925 stage=T7 side=C res=2 off=4797 len=1
RLTRACE t_ns=859200671859520 stage=T7 side=C res=2 off=4804 len=24
RLTRACE t_ns=859200671912925 stage=T7 side=C res=2 off=5060 len=1
RLTRACE t_ns=859200672727176 stage=T7 side=C res=2 off=5065 len=1
RLTRACE t_ns=859200673524392 stage=T7 side=C res=2 off=5072 len=24
RLTRACE t_ns=859200673775991 stage=T7 side=C res=2 off=5328 len=1
RLTRACE t_ns=859200674271989 stage=T7 side=C res=2 off=5333 len=1
RLTRACE t_ns=859200674577746 stage=T7 side=C res=2 off=5340 len=35
RLTRACE t_ns=859200675673033 stage=T7 side=C res=2 off=5596 len=1
RLTRACE t_ns=859200677137767 stage=T7 side=C res=2 off=5601 len=1
RLTRACE t_ns=859200678179250 stage=T7 side=C res=2 off=5608 len=21
RLTRACE t_ns=859200678863738 stage=T7 side=C res=2 off=5864 len=1
RLTRACE t_ns=859200679089290 stage=T7 side=C res=2 off=5869 len=1
RLTRACE t_ns=859200679161655 stage=T7 side=C res=2 off=5876 len=24
RLTRACE t_ns=859200679225182 stage=T7 side=C res=2 off=6132 len=1
RLTRACE t_ns=859200679290478 stage=T7 side=C res=2 off=6137 len=1
RLTRACE t_ns=859200679570931 stage=T7 side=C res=2 off=6144 len=22
RLTRACE t_ns=859200679595401 stage=T7 side=C res=2 off=6400 len=1
RLTRACE t_ns=859200679961885 stage=T7 side=C res=2 off=6405 len=1
RLTRACE t_ns=859200679978564 stage=T7 side=C res=2 off=6412 len=25
RLTRACE t_ns=859200679997927 stage=T7 side=C res=2 off=6668 len=1
RLTRACE t_ns=859200680028625 stage=T7 side=C res=2 off=6673 len=1
RLTRACE t_ns=859200680053149 stage=T7 side=C res=2 off=6680 len=25
RLTRACE t_ns=859200680072720 stage=T7 side=C res=2 off=6936 len=1
RLTRACE t_ns=859200680086647 stage=T7 side=C res=2 off=6941 len=1
RLTRACE t_ns=859200680259856 stage=T7 side=C res=2 off=6948 len=28
RLTRACE t_ns=859200680277322 stage=T7 side=C res=2 off=7204 len=1
RLTRACE t_ns=859200680292306 stage=T7 side=C res=2 off=7209 len=1
RLTRACE t_ns=859200680308785 stage=T7 side=C res=2 off=7216 len=28
RLTRACE t_ns=859200680585757 stage=T7 side=C res=2 off=7472 len=1
RLTRACE t_ns=859200680608649 stage=T7 side=C res=2 off=7477 len=1
RLTRACE t_ns=859200680625025 stage=T7 side=C res=2 off=7484 len=28
RLTRACE t_ns=859200680638555 stage=T7 side=C res=2 off=7740 len=1
RLTRACE t_ns=859200680786569 stage=T7 side=C res=2 off=7745 len=1
RLTRACE t_ns=859200680806793 stage=T7 side=C res=2 off=7752 len=31
RLTRACE t_ns=859200680820430 stage=T7 side=C res=2 off=8008 len=1
RLTRACE t_ns=859200680833798 stage=T7 side=C res=2 off=8013 len=1
RLTRACE t_ns=859200680848382 stage=T7 side=C res=2 off=8020 len=22
RLTRACE t_ns=859200680879490 stage=T7 side=C res=2 off=8276 len=1
RLTRACE t_ns=859200681189480 stage=T7 side=C res=2 off=8281 len=1
RLTRACE t_ns=859200681332611 stage=T7 side=C res=2 off=8288 len=24
RLTRACE t_ns=859200681350910 stage=T7 side=C res=2 off=8544 len=1
RLTRACE t_ns=859200681363958 stage=T7 side=C res=2 off=8549 len=1
RLTRACE t_ns=859200681636831 stage=T7 side=C res=2 off=8556 len=28
RLTRACE t_ns=859200681656997 stage=T7 side=C res=2 off=8812 len=1
RLTRACE t_ns=859200681671611 stage=T7 side=C res=2 off=8817 len=1
RLTRACE t_ns=859200681686439 stage=T7 side=C res=2 off=8824 len=23
RLTRACE t_ns=859200681840220 stage=T7 side=C res=2 off=9080 len=1
RLTRACE t_ns=859200682318990 stage=T7 side=C res=2 off=9085 len=1
RLTRACE t_ns=859200682643145 stage=T7 side=C res=2 off=9092 len=25
RLTRACE t_ns=859200682669806 stage=T7 side=C res=2 off=9348 len=1
RLTRACE t_ns=859200682700768 stage=T7 side=C res=2 off=9353 len=1
RLTRACE t_ns=859200682722658 stage=T7 side=C res=2 off=9360 len=25
RLTRACE t_ns=859200682736191 stage=T7 side=C res=2 off=9616 len=1
RLTRACE t_ns=859200682749947 stage=T7 side=C res=2 off=9621 len=1
RLTRACE t_ns=859200682765390 stage=T7 side=C res=2 off=9628 len=19
RLTRACE t_ns=859200683177819 stage=T7 side=C res=2 off=9884 len=1
RLTRACE t_ns=859200683346813 stage=T7 side=C res=2 off=9889 len=1
RLTRACE t_ns=859200683669388 stage=T7 side=C res=2 off=9896 len=19
RLTRACE t_ns=859200683694330 stage=T7 side=C res=2 off=10152 len=1
RLTRACE t_ns=859200683710656 stage=T7 side=C res=2 off=10157 len=1
RLTRACE t_ns=859200683727244 stage=T7 side=C res=2 off=10164 len=19
RLTRACE t_ns=859200683916799 stage=T7 side=C res=2 off=10420 len=1
RLTRACE t_ns=859200684464251 stage=T7 side=C res=2 off=10425 len=1
RLTRACE t_ns=859200684735998 stage=T7 side=C res=2 off=10432 len=19
RLTRACE t_ns=859200684759750 stage=T7 side=C res=2 off=10688 len=1
RLTRACE t_ns=859200684780968 stage=T7 side=C res=2 off=10693 len=1
RLTRACE t_ns=859200684804035 stage=T7 side=C res=2 off=10700 len=19
RLTRACE t_ns=859200684824713 stage=T7 side=C res=2 off=10956 len=1
RLTRACE t_ns=859200684999114 stage=T7 side=C res=2 off=10961 len=1
RLTRACE t_ns=859200685044266 stage=T7 side=C res=2 off=10968 len=19
RLTRACE t_ns=859200685065985 stage=T7 side=C res=2 off=11224 len=1
RLTRACE t_ns=859200685088505 stage=T7 side=C res=2 off=11229 len=1
RLTRACE t_ns=859200685111439 stage=T7 side=C res=2 off=11236 len=19
RLTRACE t_ns=859200685135560 stage=T7 side=C res=2 off=11492 len=1
RLTRACE t_ns=859200685158696 stage=T7 side=C res=2 off=11497 len=1
RLTRACE t_ns=859200685181036 stage=T7 side=C res=2 off=11504 len=16
RLTRACE t_ns=859200685202334 stage=T7 side=C res=2 off=11760 len=1
RLTRACE t_ns=859200685531421 stage=T7 side=C res=2 off=11765 len=1
RLTRACE t_ns=859200686077704 stage=T7 side=C res=2 off=11772 len=23
RLTRACE t_ns=859200686104702 stage=T7 side=C res=2 off=12028 len=1
RLTRACE t_ns=859200686127100 stage=T7 side=C res=2 off=12033 len=1
RLTRACE t_ns=859200686151915 stage=T7 side=C res=2 off=12040 len=22
RLTRACE t_ns=859200686189390 stage=T7 side=C res=2 off=12296 len=1
RLTRACE t_ns=859200686212426 stage=T7 side=C res=2 off=12301 len=1
RLTRACE t_ns=859200686236462 stage=T7 side=C res=2 off=12308 len=27
RLTRACE t_ns=859200686258573 stage=T7 side=C res=2 off=12564 len=1
